,Pos,Driver,BRA,USW,FRA,SMR,MON,BEL,DET,CAN,GBR,GER,AUT,NED,ITA,EUR,RSA,Pts
0,1,Nelson Piquet,1,Ret,2,Ret,2,4,4,Ret,2,13,3,Ret,1,1,3,59
1,2,Alain Prost,7,11,1,2,3,1,8,5,1,4,1,Ret,Ret,2,Ret,57
2,3,René Arnoux,10,3,7,3,Ret,Ret,Ret,1,5,1,2,1,2,9,Ret,49
3,4,Patrick Tambay,5,Ret,4,1,4,2,Ret,3,3,Ret,Ret,2,4,Ret,Ret,40
4,5,Keke Rosberg,DSQ,Ret,5,4,1,5,2,4,11,10,8,Ret,11,Ret,5,27
5,6,John Watson,Ret,1,Ret,5,DNQ,Ret,3,6,9,5,9,3,Ret,Ret,DSQ,22
6,7,Eddie Cheever,Ret,13,3,Ret,Ret,3,Ret,2,Ret,Ret,4,Ret,3,10,6,22
7,8,Andrea de Cesaris,EX,Ret,12,Ret,Ret,Ret,Ret,Ret,8,2,Ret,Ret,Ret,4,2,15
8,9,Riccardo Patrese,Ret,10,Ret,Ret,Ret,Ret,Ret,Ret,Ret,3,Ret,9,Ret,7,1,13
9,10,Niki Lauda,3,2,Ret,Ret,DNQ,Ret,Ret,Ret,6,DSQ,6,Ret,Ret,Ret,11,12
